country	field	variant	canonical
*	name	praivet	pvt
*	name	dhamizhnadhu	tamilnadu
*	name	limidhedh	ltd
*	name	praibhet	pvt
*	name	hariyana	haryana
*	name	bhiraivedh	pvt
*	name	keralan	kerala
*	name	elaelapi	llp
*	name	limirrad	ltd
*	name	tek	tech
*	name	phuds	foods
*	name	kanstrakshans	constructions
*	name	intaraneshanal	intl
*	name	aiti	it
*	name	pradesha	pradesh
*	name	enarji	energy
*	name	impeks	impex
*	name	phud	food
*	name	phaundeshan	foundation
*	name	prodyusar	producer
*	name	estet	estate
*	name	pavar	power
*	name	panjab	punjab
*	name	kanstrakshan	construction
*	name	bildars	builders
*	name	odaisha	odisha
*	name	prodakts	products
*	name	tredinga	trading
*	name	devalapars	developers
*	name	midiya	media
*	name	sistams	systems
*	name	venchars	ventures
*	name	al	all
*	name	indastrij	ind
*	name	entarapraijej	ent
*	name	kansaltents	consultants
*	name	kansaltensi	consultancy
*	name	saolyushans	solutions
*	name	teknolaojij	tech
*	name	injiniyaringa	engg
*	name	investaments	investments
*	name	keyar	care
*	name	projekts	projects
*	name	marketinga	marketing
*	name	eksaports	exports
*	name	kansaltinga	consulting
*	name	imphra	infra
*	name	imphrastrakchar	infrastructure
*	name	egro	agro
*	name	investamenta	investment
*	name	imphotek	infotech
*	name	phainens	finance
*	name	sarvisej	svc
*	name	elelpi	llp
*	name	helthakeyar	healthcare
*	name	hai	high
*	name	haospitailiti	hospitality
*	name	bijanes	business
*	name	mainejamenta	mgmt
*	name	tirupati	tirupathi
*	name	saophtaveyar	software
*	name	gujarata	gujarat
*	name	laojistiks	logistics
*	name	grin	green
*	name	lotas	lotus
*	name	teknolaoji	tech
*	name	laiph	life
*	name	siti	city
*	name	praopartij	properties
*	name	san	sun
*	name	supar	super
*	name	svastik	swastik
*	name	nyu	new
*	name	hotal	hotel
*	name	klasik	classic
*	name	riyal	real
*	name	drim	dream
*	name	dijital	digital
*	name	blu	blue
*	name	suprim	supreme
*	name	phyuchar	future
*	name	skai	sky
*	name	gret	great
*	name	haitek	hitech
