country	field	tok	kind	p
US	name	service	generic_business	1.0
US	name	corp	legal_form	1.0
US	name	the	connector	1.0
US	name	llc	legal_form	1.0
US	name	inc	legal_form	1.0
US	name	and	connector	1.0
FRANCE	addr	blvd	street_type	1.0
US	name	ltd	legal_form	1.0
US	name	of	connector	1.0
US	name	group	generic_business	1.0
INDIA	name	venus	distinctive	1.0
INDIA	name	kanpur	place	1.0
INDIA	name	hospitals	generic_business	1.0
INDIA	name	devi	distinctive	1.0
INDIA	name	bengal	place	1.0
INDIA	name	yash	distinctive	1.0
FRANCE	name	tech	generic_business	1.0
FRANCE	name	ind	generic_business	1.0
FRANCE	name	ent	generic_business	1.0
FRANCE	name	svc	generic_business	1.0
FRANCE	name	and	connector	1.0
US	name	west	place	1.0
US	name	therapy	generic_business	1.0
US	name	north	place	1.0
US	name	patriot	distinctive	1.0
US	name	midwest	place	1.0
US	name	south	place	1.0
US	name	enterprises	generic_business	1.0
FRANCE	name	andre	distinctive	1.0
FRANCE	name	vincent	distinctive	1.0
FRANCE	name	jeanne	distinctive	1.0
FRANCE	name	anne	distinctive	1.0
FRANCE	name	laurent	distinctive	1.0
FRANCE	name	francois	distinctive	1.0
INDIA	name	lab	generic_business	1.0
INDIA	name	vinayak	distinctive	1.0
INDIA	name	networks	generic_business	1.0
INDIA	name	vijaya	distinctive	1.0
INDIA	name	market	generic_business	1.0
INDIA	name	jyoti	distinctive	1.0
INDIA	name	to	connector	1.0
FRANCE	addr	avenue	street_type	1.0
INDIA	name	merchants	generic_business	1.0
FRANCE	name	organisme	generic_business	1.0
FRANCE	name	ets	generic_business	1.0
INDIA	addr	bldg	unit_or_building	1.0
INDIA	addr	ste	unit_or_building	1.0
US	name	johnson	distinctive	1.0
FRANCE	name	georges	distinctive	1.0
FRANCE	name	michel	distinctive	1.0
FRANCE	name	sud	place	1.0
FRANCE	name	julien	distinctive	1.0
FRANCE	name	marcel	distinctive	1.0
INDIA	name	shivan	distinctive	1.0
INDIA	name	durga	distinctive	1.0
FRANCE	addr	boulevard	street_type	1.0
FRANCE	addr	jean	distinctive	1.0
FRANCE	addr	av	street_type	1.0
FRANCE	addr	allee	street_type	1.0
FRANCE	addr	rue	street_type	1.0
FRANCE	addr	de	direction_or_connector	1.0
INDIA	name	punjab	place	1.0
INDIA	name	crystal	distinctive	1.0
INDIA	name	publications	generic_business	1.0
INDIA	name	processing	generic_business	1.0
INDIA	name	industry	generic_business	1.0
INDIA	addr	ave	street_type	1.0
INDIA	addr	ln	street_type	1.0
INDIA	addr	apt	unit_or_building	1.0
FRANCE	name	formation	generic_business	1.0
FRANCE	name	the	connector	1.0
FRANCE	name	jacques	distinctive	1.0
FRANCE	name	education	generic_business	1.0
FRANCE	name	hebergement	generic_business	1.0
INDIA	addr	s	direction_or_connector	1.0
INDIA	addr	w	direction_or_connector	1.0
INDIA	addr	fl	unit_or_building	1.0
INDIA	addr	rd	street_type	1.0
FRANCE	name	claude	distinctive	1.0
FRANCE	name	editions	generic_business	1.0
FRANCE	name	joseph	distinctive	1.0
FRANCE	name	louis	distinctive	1.0
INDIA	addr	opp	direction_or_connector	1.0
FRANCE	name	paul	distinctive	1.0
FRANCE	name	saad	distinctive	1.0
US	name	industries	generic_business	1.0
US	name	ventures	generic_business	1.0
US	name	solutions	generic_business	1.0
US	name	williams	distinctive	1.0
INDIA	addr	ph	locality_word	1.0
INDIA	addr	st	street_type	1.0
INDIA	addr	n	direction_or_connector	1.0
INDIA	addr	e	direction_or_connector	1.0
INDIA	addr	sec	locality_word	1.0
INDIA	name	visakhapatnam	place	1.0
INDIA	name	kozhikode	place	1.0
INDIA	name	jaya	distinctive	1.0
INDIA	name	varanasi	place	1.0
INDIA	name	mart	generic_business	1.0
INDIA	name	gupta	distinctive	1.0
FRANCE	name	brasserie	generic_business	1.0
INDIA	name	mining	generic_business	1.0
US	name	md	title	1.0
INDIA	name	ind	generic_business	1.0
INDIA	name	mkt	generic_business	1.0
INDIA	name	mfg	generic_business	1.0
INDIA	name	ent	generic_business	1.0
INDIA	name	w	place	1.0
FRANCE	name	soins	generic_business	1.0
FRANCE	name	nicolas	distinctive	1.0
FRANCE	name	robert	distinctive	1.0
FRANCE	name	restaurant	generic_business	1.0
FRANCE	name	martin	distinctive	1.0
FRANCE	name	financement	generic_business	1.0
INDIA	name	e	place	1.0
INDIA	name	s	place	1.0
US	name	labs	generic_business	1.0
US	name	management	generic_business	1.0
US	name	networks	generic_business	1.0
US	name	systems	generic_business	1.0
US	name	brown	distinctive	1.0
US	name	medical	generic_business	1.0
FRANCE	name	conseil	generic_business	1.0
FRANCE	name	gestion	generic_business	1.0
FRANCE	name	marie	distinctive	1.0
INDIA	name	bhopal	place	1.0
INDIA	name	contractors	generic_business	1.0
INDIA	name	for	connector	1.0
INDIA	name	commerce	generic_business	1.0
INDIA	name	malappuram	place	1.0
INDIA	name	bengaluru	place	1.0
FRANCE	addr	charles	distinctive	1.0
FRANCE	addr	henri	distinctive	1.0
FRANCE	addr	jules	distinctive	1.0
FRANCE	addr	paul	distinctive	1.0
FRANCE	addr	louis	distinctive	1.0
FRANCE	addr	chemin	street_type	1.0
US	name	technologies	generic_business	1.0
US	name	cleaning	generic_business	1.0
US	name	laboratories	generic_business	1.0
US	name	advisors	generic_business	1.0
FRANCE	name	dunkerque	place	1.0
FRANCE	name	tourcoing	place	1.0
FRANCE	name	services	generic_business	1.0
FRANCE	name	therese	distinctive	1.0
FRANCE	name	enterprises	generic_business	1.0
FRANCE	name	transport	generic_business	1.0
US	name	hernandez	distinctive	1.0
FRANCE	name	antoine	distinctive	1.0
FRANCE	name	garage	generic_business	1.0
FRANCE	name	transports	generic_business	1.0
FRANCE	name	service	generic_business	1.0
FRANCE	name	jean	distinctive	1.0
FRANCE	name	et	connector	1.0
FRANCE	name	snc	legal_form	1.0
FRANCE	name	roubaix	place	1.0
US	name	jones	distinctive	1.0
US	name	southside	place	1.0
FRANCE	addr	pierre	distinctive	1.0
FRANCE	addr	route	street_type	1.0
FRANCE	addr	bd	street_type	1.0
FRANCE	addr	impasse	street_type	1.0
INDIA	name	supply	generic_business	1.0
INDIA	name	tourism	generic_business	1.0
INDIA	name	mysore	place	1.0
INDIA	name	thiruvananthapuram	place	1.0
INDIA	name	svc	generic_business	1.0
INDIA	name	mgmt	generic_business	1.0
INDIA	name	engg	generic_business	1.0
US	name	consultants	generic_business	1.0
US	name	garcia	distinctive	1.0
US	name	davis	distinctive	1.0
US	name	products	generic_business	1.0
US	name	martinez	distinctive	1.0
INDIA	name	singh	distinctive	1.0
INDIA	name	suppliers	generic_business	1.0
INDIA	name	agency	generic_business	1.0
INDIA	name	rajkot	place	1.0
INDIA	name	secunderabad	place	1.0
INDIA	name	ganesh	distinctive	1.0
INDIA	name	productions	generic_business	1.0
INDIA	name	training	generic_business	1.0
INDIA	name	nashik	place	1.0
INDIA	name	vadodara	place	1.0
INDIA	name	insurance	generic_business	1.0
INDIA	name	faridabad	place	1.0
INDIA	name	aurangabad	place	1.0
INDIA	name	madras	place	1.0
US	name	rodriguez	distinctive	1.0
US	name	cafe	generic_business	1.0
FRANCE	name	nantes	place	1.0
FRANCE	name	la	connector	1.0
FRANCE	name	etablissements	generic_business	1.0
FRANCE	name	pharmacie	generic_business	1.0
FRANCE	name	clinique	generic_business	1.0
US	name	miller	distinctive	1.0
INDIA	name	n	place	1.0
US	name	development	generic_business	1.0
US	name	western	place	1.0
US	name	southern	place	1.0
US	name	bakery	generic_business	1.0
US	name	shop	generic_business	1.0
US	name	cpa	title	1.0
US	name	dpm	title	1.0
US	name	esq	title	1.0
US	name	dmd	title	1.0
US	name	trading	generic_business	1.0
US	name	deli	generic_business	1.0
US	name	supply	generic_business	1.0
US	name	business	generic_business	1.0
US	name	research	generic_business	1.0
US	name	lopez	distinctive	1.0
US	name	financial	generic_business	1.0
US	name	practice	generic_business	1.0
US	name	investments	generic_business	1.0
US	name	eastern	place	1.0
US	name	insurance	generic_business	1.0
US	name	northern	place	1.0
INDIA	name	patel	distinctive	1.0
INDIA	name	siddhi	distinctive	1.0
INDIA	name	vishan	distinctive	1.0
INDIA	name	thrissur	place	1.0
FRANCE	name	beth	distinctive	1.0
INDIA	name	rudra	distinctive	1.0
FRANCE	addr	albert	distinctive	1.0
FRANCE	addr	francois	distinctive	1.0
FRANCE	addr	georges	distinctive	1.0
INDIA	name	laboratories	generic_business	1.0
INDIA	name	facility	generic_business	1.0
US	name	technology	generic_business	1.0
US	name	tavern	generic_business	1.0
US	name	wilson	distinctive	1.0
US	name	logistics	generic_business	1.0
US	name	engineering	generic_business	1.0
US	name	construction	generic_business	1.0
US	name	retail	generic_business	1.0
US	name	housing	generic_business	1.0
US	name	hospitality	generic_business	1.0
US	name	martin	distinctive	1.0
US	addr	ste	unit_or_building	1.0
US	addr	fl	unit_or_building	1.0
US	addr	e	direction_or_connector	1.0
US	addr	s	direction_or_connector	1.0
US	addr	hwy	street_type	1.0
US	addr	blvd	street_type	1.0
US	name	thomas	distinctive	1.0
US	name	gonzalez	distinctive	1.0
US	name	anderson	distinctive	1.0
US	name	hospital	generic_business	1.0
US	name	freight	generic_business	1.0
INDIA	name	advertising	generic_business	1.0
INDIA	name	storage	generic_business	1.0
INDIA	name	manufacturing	generic_business	1.0
FRANCE	addr	emile	distinctive	1.0
FRANCE	addr	imp	street_type	1.0
FRANCE	addr	andre	distinctive	1.0
FRANCE	addr	victor	distinctive	1.0
FRANCE	addr	rte	street_type	1.0
